section_info,question_text,answer_text,views_info,date,link1
Dolzarb savollar,"Assalomu alaykum!3 ta savolim bor edi uzr.1. Gunoxi kabiralarga kaysi gunoxlar kiradi.Iltimos mumkin bulsa birma bir sanab utsangiz..2.Peshin namozini soat 1 da ukiyman peshin namozidan keyin birdaniga Zuxo nafl namozini ukiyman.naflni Ukiydigan vaktim tugrimi..3..Bir dustimning kasbi tuyxonada kalonka kuyadi.1-2 ta masjidlarni mikrafoni,kalonkasi umuman shu soxada nima problema busa kilib beraman deb buyniga olgan savob umidida.Yakinda yangi mikrafon xam olib berdi kimmatrokidan,uzining xamenidan.Man Unga Tuylaga kalonka kuyma yaxshimas desam u nima uchun bu gunox ish maski emon maksadga kuymaganman odamlarni yaxshi kunida xizmat kilyapmanki  deydi. Tuydagi uyin kulgi,arok va boshka gunox ishla uchun xamma uzi uchun javob beradi dedi.5 vakt namozni kanda kilmaydi.Dustimni tuylarda kalonka kuyish kasbi masjiddagi erdamlariga zie""n etkarmaeptimi.Javoblar uchun kattakon raxmat.",Va alaykum assalom!1). Imom Zahabiyning “Gunohi kabiralar” kitobini olib o'qishni tavsiya qilamiz. Vallohu alam!2). http://fiqh.uz/index.php/ibodat/namoz/689-nafl-namozlar3). http://savollar.islom.uz/smf/index.php?topic=23034.0,6557,15.03.2017,http://fiqh.uz/index.php/ibodat/namoz/689-nafl-namozlar3).
Halol va harom,Assalomu alaykum!kvars ichimligi tugrisida malumot bersangiz necha friz sipirt kushilganini ichish mumkin oldindan raxmat,Va alaykum assalom!http://savollar.islom.uz/savol/7267,2390,15.03.2017,http://savollar.islom.uz/savol/7267
Siyrat va tarix,Assalomu alaykum! Meni bir tanishim Risolat filimini ko'rib unda Hamza roziyallohu anhuni o'ldirgan Vaxshi ibn Xaribni yomonlab gapirdi. Men unga bu ishi noto'g'ri ekanini aytdim. Eshtishimcha u kishi iymonga kelgan ekanlar. Savolim u inson qanday inson bo'lganlar?,Va alaykum assalom! http://siyrat.uz/?p=1020,2672,15.03.2017,http://siyrat.uz/?p=1020
Dolzarb savollar,"Assalomu alaykum! Hurmatli ustozlar, inson hayotda qilgan amallari uchun jannatda yoki do'zaxda darajaga bo'linadimi? Yani ozroq gunox qilgan odamning do'zaxdagi azobi engil bo'ladimi? Bu savobing uchun sening jannatdagi martabang oshadi degan gaplarni ko'p eshitganman.",Va alaykum assalom!http://hadis.islom.uz/index.php?act=book&amp;sec=&amp;b_id=29&amp;s_id=2795,2170,16.03.2017,http://hadis.islom.uz/index.php?act=book&amp;sec=&amp;b_id=29&amp;s_id=2795
Dolzarb savollar,Assalomu alaykum! 1 Ustozlar mening bir qarindoshim rus millatidagi bir yigitga turmushga chiqayapti. Bunga shariatda nima deyilgan?2). Yoshligimdan ko'p eshitaman oq narsaga oq narsani qo'shib eb bo'lmaydi pes-mahov bo'lib qolasan deyishadi. Shu rostmi? Bu haqida nima deysizlar,"Va alaykum assalom!1). Agar rus millatidagi yigit musulmon bo'lsa, joiz.http://savollar.islom.uz/savol/1020942). Bunisini tabiblardan so'raysiz. Vallohu alam!",2137,16.03.2017,http://savollar.islom.uz/savol/1020942).
Dolzarb savollar,Assalomu alaykum! Ayollar mahramisiz umra yoki haj ibodatlarini amalga oshirishi mumkinmi?,Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=22022.0,3161,16.03.2017,http://savollar.islom.uz/smf/index.php?topic=22022.0
Dolzarb savollar,Assalomu alaykum ! Alloh rozi bo'lsin. Savolim shundan iboratki bo'ydoq yigitlar uylanganidan so'ng rizqi ko'payishi haqida yoki oilaga qut-baraka kirishi haqida kattalardan ko'p nasihatlar eshitamiz. Ustozlardan shuni iltimos qilardimki rizqi ko'payishiga sabab omillar haqida batafsil malumotlar bersangizlar. Rahmat.,Va alaykum assalom!http://islom.uz/view/rizkning-kengaiishiga-sabab-boluvchi-omillar,2669,16.03.2017,http://islom.uz/view/rizkning-kengaiishiga-sabab-boluvchi-omillar
Halol va harom,"Assalomu alaykum! Aziz ustozlar, menga pul judda ham zarurligi sababli, tilla buyumlari do'koniga tillamni garovga qo'yib qarz olib, 1 oydan keyin olgan qarzimni rozi bo'lib foizi bilan qaytarsam gunoh emasmi?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=22031.0,2040,16.03.2017,http://savollar.islom.uz/smf/index.php?topic=22031.0
Oila va turmush,"Assalomu alaykum! Ustozlar Alloh ilimingizni bundanda ziyoda qilsin. 1). Men bir qizga uylanmoqchi edim. Qizni yuragi parog ekan, tug'ish mumki emas ekan. Shu qizga uylansam bo'ladimi?2). Akamni ayoli qizni opasi bola tug'ib bersa, biz bola qilib olsak bo'ladimi? Javoblar uchun oldindan rahmat! Alloh barchamizdan rozi bo'lsin.",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=5865.0,3026,16.03.2017,http://savollar.islom.uz/smf/index.php?topic=5865.0
Duolar,"Assalomu alaykum! Men ""Alloxuma makfina bixalika anxaronik vaglina bifavlika an nazivak"" duoni karzdan kutilish duosi deb eshitganman. Ammo manosini bilmayman. Manosini aytsangiz iltimos!",Va alaykum assalom!http://savollar.islom.uz/savol/41331,12722,15.03.2017,http://savollar.islom.uz/savol/41331
Dolzarb savollar,"Assalomu alaykum! Men telegram tarmog'idagi kanalingizdan «Qabrlarni silash shirkligi» haqida o'qib qoldim. Biz tomonlarda (menimcha ko'p joylarda shunday qilinsa kerak) ziyoratgohlarga borilganda avliyolarning qabrlari, yoki maqbarasini odamlar silab, duo qilib, niyat qilishadi. Hatto bunday joylarda ikki uch kun yotib qolib, o'sha avliyolarning ruhidan kassaliklariga shifo so'rashadi. Osha erdagi odam avliyo yotgan qabr ustiga tashlangan chitlardan hammaga bo'lib beradi. Qabrlarni ziyorat qilishda biror meyor bormi? Oldindan rahmat.",Va alaykum assalom!Biz qabrlarni silashni shirkligi haqida aytmaganmiz. Ozingizdan bo'rttirmang. Vallohu alam!http://fiqh.uz/index.php/ibodat/halol-harom/mayt/654-marhumlarni-joqlashda-motadil-meyor,2499,16.03.2017,http://fiqh.uz/index.php/ibodat/halol-harom/mayt/654-marhumlarni-joqlashda-motadil-meyor
Hadislar,"Assalomu alaykum, xurmatli ustozlar! Shunday xadis bormi?""Agar ummatimga kim birinchi bolib Ramazon oyini kaysi kuni kirishini eslatsa, jaxannam otlari ul insonga xaromdir.""Javobingiz uchun avvaldan raxmat!",Va alaykum assalom!http://savollar.islom.uz/savol/106774,2167,16.03.2017,http://savollar.islom.uz/savol/106774
Halol va harom,"Assalomu alaykum! Hurmatli ustozlar, akam qimor o'ynaladigan zotli dakang xo'rozlar ochdirib katta qilib sotadilar. Bu ishiz noto'g'ri, shariatga zid desam, domladan suraganman, urushtirmasdan sotsez bo'ladi degan – deydi. Domlani bu gapiga ko'nglim to'lmadi. Iltimos qilayotgan ishlari noto'g'ri ekanini tushuntirib beringlar.",Va alaykum assalom!Xo'rozni boqish sharan gunoh emas. Ammo uni qimor kabi maqsadlarda foydalanish joiz emas. Vallohu alam!http://savollar.islom.uz/savol/84397,2560,16.03.2017,http://savollar.islom.uz/savol/84397
Dolzarb savollar,"Assalomu alaykum! Oldindan rahmat javob uchun, biz yashayotgan qishloq axolisi o'z yonlaridan pul yig'ib qishlog'imizdan sal uzoqroqda suv bo'yida taom tayyorlab ehson qilishayapti(yani darushina) shu to'g'rimi va borib qatnashsak bo'ladimi?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=12423.0,1955,16.03.2017,http://savollar.islom.uz/smf/index.php?topic=12423.0
Halol va harom,"Assalomualaykum! Hurmatli ustozlar, bozorlardagi sotiladigan baliqlar aksari o'lib bo'lgan baliqlar(ular so'yilmagan). Ularning hukmi qanday?",Va alaykum assalom!http://savollar.islom.uz/savol/27710,2641,16.03.2017,http://savollar.islom.uz/savol/27710
Oila va turmush,"Assalomu alaykum! Man birinchi farzandimni (o'g'il bola)ikki yoshu to'rt oylik bo'lguncha sutim bilan boqdim.uch yarim yosh bo'lganda ikkinchi farzandim tug'ildi (o'g'il bola) uni bir yoshu bir oylik bo'lguncha sut bilan boqdim sut kelme qolgani uchun majbur bo'ldim. Hozirda ikkinchi farzandim ikki yoshu uch oylik Allohimga shukur bir hafta bo'ldi Allohim shiringina qizcha berdi. Savolim man qizim bilan birga ikkinchi farzandimni ham ona suti bn boqsam bo'ladimi yoki qizimni haqqiga daxl qilgan bo'lamanmi? Javob uchun mingdan ming rahmat umringiz, rizqingiz, ilmingizga Allohim barakot bersin.",Va alaykum assalom!http://savollar.islom.uz/savol/113339,3380,16.03.2017,http://savollar.islom.uz/savol/113339
Dolzarb savollar,"Assalomu alaykum! Hurmatli sayt azolari, NIKE firmasi kiyimlarini kiyish mumkinmas deb eshitdim. Shu haqida to'liq malumot bersangiz.","Va alaykum assalom!""Izlash xizmatidan"" foydalansangiz maqsadga muvofiq bo'lar edi.http://savollar.islom.uz/smf/index.php?topic=24439.0http://savollar.islom.uz/smf/index.php?topic=24376.0http://savollar.islom.uz/smf/index.php?topic=16611.0http://savollar.islom.uz/smf/index.php?topic=4778.0",4273,16.03.2017,http://savollar.islom.uz/smf/index.php?topic=24439.0http://savollar.islom.uz/smf/index.php?topic=24376.0http://savollar.islom.uz/smf/index.php?topic=16611.0http://savollar.islom.uz/smf/index.php?topic=4778.0
Ibodatlar,"Assalomu alaykum! Hurmatli ustozlar, istixora nomozini tunning aynan qaysi vaqtlarida o'qish maqsadga muofiq hisoblanadi? Javobingiz uchun oldindan rahmat.",Va alaykum assalom!Quyidagi linkda barcha nafl namozlar haqida malumotlar bor.http://fiqh.uz/index.php/ibodat/namoz/689-nafl-namozlar,2835,14.03.2017,http://fiqh.uz/index.php/ibodat/namoz/689-nafl-namozlar
Dolzarb savollar,Assalomu alaykum! Men somsachiman. Ramazon oyida somsa qilishim va sotishim mumkinmi? Boshqa pul topadigan joyim yo'q. Ramazonda ishlamasligim kerakmi? Oldindan rahmat.,Va alaykum assalom!http://savollar.islom.uz/savol/8361http://savollar.islom.uz/savol/27935http://savollar.islom.uz/smf/index.php?topic=15303.0http://savollar.islom.uz/savol/38998,1880,15.03.2017,http://savollar.islom.uz/savol/8361http://savollar.islom.uz/savol/27935http://savollar.islom.uz/smf/index.php?topic=15303.0http://savollar.islom.uz/savol/38998
Halol va harom,"Assalomu alaykum! Hurmatli ustozlar, yaqinda bir malumot o'qib qoldim. Yurtimizda ot go'shtidan qazi tayyorlashda o'zimizni ot ichaklari etishmas ekan. Shuning uchun ichaklar Mongoliya va Polshadan olib kelinar ekan. Shu ichaklarda tayyorlangan qazini istemol qilish mumkinmi?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=19598.0http://savollar.islom.uz/savol/85146,2122,15.03.2017,http://savollar.islom.uz/smf/index.php?topic=19598.0http://savollar.islom.uz/savol/85146
Halol va harom,Assalomu alaykum! Men bir joyda “aroq ichgan odamni iymoni 40kun qaytmaydi” deb eshitdim. Yana bir joyda “aroq ichayotganda chiqib turadi” deyishdi. Qaysi biri to'g'ri?,Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=25026.0,2531,15.03.2017,http://savollar.islom.uz/smf/index.php?topic=25026.0
Hadislar,Assalomu alaykum! Men «Qabristonga kiruvchi ayollarga lanat bo'lsin» manosidagi hadis o'qigan edim.,Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=18924.0http://fiqh.uz/index.php/ibodat/halol-harom/gunohlar/687-abr-zijoratidagi-nozik-masala,2722,15.03.2017,http://savollar.islom.uz/smf/index.php?topic=18924.0http://fiqh.uz/index.php/ibodat/halol-harom/gunohlar/687-abr-zijoratidagi-nozik-masala
Tabobat,Assalomu alaykum! Buyuk Alloh biz bandalariga kattayu kichik dardlarni sinov qilib beradi. Bu dardlarga sabr qilmoqlik benihoya savoblarga to'la. Banda bu o'rinda davo izlamoqligi kerakmi yoki unga bardosh bilan gunohlariga kafforot ekanligiga umid qilib kiifoyalanmog'i kerakmi? Javobingiz uchun rahmat.,Va alaykum assalom!http://old.islom.uz/content/view/457/110/,2604,15.03.2017,http://old.islom.uz/content/view/457/110/
Duolar,Assalomu alaykum! Duoni o'zbek tilida ham o'qib yursa bo'ladim yoki faqat arab tilida o'qish kerakmi? Javob uchun rahmat.,Va alaykum assalom!http://savollar.islom.uz/savol/1796,3055,15.03.2017,http://savollar.islom.uz/savol/1796
Oila va turmush,Assalomu alaykum! Otaning ikkinchi xotini avvalgi onadan bo'lgan farzandlariga haqiqiy onadek bo'ladimi? Ikkinchi onaga qilinayotgan yomon muomolotlarda ham farzand oq bo'lishi mumkinmi? Yoki bu o'z onasiga nisbatanmi?,"Va alaykum assalom!Ikkinchi onaga qilingan ozor va zulmlar, otaga qilingan ozor va zulm sanalib otaga oq bo'lishga olib keladi. Bundan saqlanish kerak. Vallohu alam!http://savollar.islom.uz/savol/32458",2677,15.03.2017,http://savollar.islom.uz/savol/32458
Halol va harom,"Assalomu alaykum! Hurmatli ustozlar, mening bir do'stim bilib bilmay cho'chqa go'shti eb qo'ygan. Ozi egan taomda cho'chqa go'shti bor yo'qligini aniq bilmagan, u ham boshqalardan eshitgan. Endi nima qilishi kerak?",Va alaykum assalom!Bilib egan bo'lsangiz qattiq gunohkor bo'lasiz. Shuning uchun eyishdan oldin surishtirish kerak. Tavba va afsus nadomat qiling. Vallohu alam!http://savollar.islom.uz/savol/39309,2096,15.03.2017,http://savollar.islom.uz/savol/39309
Dolzarb savollar,"Assalomu alaykum! Oxirgi paytlarda tez-tez vasvasaga tushib qolyapman. Juda yomon o'ylar qanchalik tark etmayapti. Shu qadar kufr narsalar hayolimga keladi-ki, agar bu haqida gapirgudek bo'lsam(Alloh saqlasin) kofir bo'lishim aniq(Alloh saqlasin). Iltimos ustozlar aytinglar, shariatimizda bunday vasvasalardan qanday qutulish kerakligi haqida ko'rsatmalar bormi? Mo'min musulmon kishi o'ylagan yomon narsasi uchun ham gunohkor bo'lib qolmaydimi? Javobingiz uchun oldindan rahmat, Alloh sizdan rozi bo'lsin!",Va alaykum assalom!Gunohkor bo'lmaydi. Vallohu alam!http://fiqh.uz/index.php/fiqh-uz/dolzarb-mavzu/671-vasvasa,2632,15.03.2017,http://fiqh.uz/index.php/fiqh-uz/dolzarb-mavzu/671-vasvasa
Oila va turmush,"Assalomu aleykum! Er xotiniga ajrashish niyatida emas, lekin jahl ustida sms orqali «qo'ydim» desa buning hukmi qanaqa bo'ladi? Javob uchun rahmat.",Va alaykum assalom!http://savollar.islom.uz/savol/27097Hozirgi kunda “qo'ydim” degan so'z faqat taloqqa ishlatilgani uchun bazi fuqaholarimiz niyat qilmasa ham taloq tushadi – deyishgan. Vallohu alam!,2759,15.03.2017,http://savollar.islom.uz/savol/27097Hozirgi
Dolzarb savollar,"Assalomu alaykum! Hurmatli ustozlar, men bir rivoyat eshitib qolgandim. Unda aytilishicha kimki yuztuban yotib uxlashni odat qilib olsa u inson uchun dzohdan joy ajratilarkan. Shu rivoyat qanchalik to'g'ri?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=24427.0http://savollar.islom.uz/savol/86416,2768,14.03.2017,http://savollar.islom.uz/smf/index.php?topic=24427.0http://savollar.islom.uz/savol/86416
Dolzarb savollar,"Assalomu alaykum! Aziz ustozlar ayol kishi tahorat qilib so'ng lak sursayu tahorati buzilib, so'ng yana tahorat qilganda tahorati o'tadimi?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=22178.0http://savollar.islom.uz/smf/index.php?topic=31319.0,1901,14.03.2017,http://savollar.islom.uz/smf/index.php?topic=22178.0http://savollar.islom.uz/smf/index.php?topic=31319.0
Islam,Assalomu alaykum! Alloh ilmingizni ziyoda qilsin. Qoshni bo'yash yani rastushovka islomda mumkunmi? U qoshdan ancha yilgachon ketmaydi. Javobingiz uchun oldindan rahmat.,Va alaykum assalom!http://savollar.islom.uz/savol/102848,4002,13.03.2017,http://savollar.islom.uz/savol/102848
Oila va turmush,"Assalomu alaykum! Farzandli bo'lgan edim. 21 kunlikda qo'y so'ymoqchi edim, sharoit bo'lmay qoldi. Jonliqni 40 kunlik bo'lganda so'ysam bo'ladimi?",Va alaykum assalom!http://old.islom.uz/content/view/2187/109/,2707,13.03.2017,http://old.islom.uz/content/view/2187/109/
Dolzarb savollar,Assalomu alaykum! Peshin namozini kazo kilgan bolsa va asr vakti kirgan bolsa birinchi kaysi namozni ukish kerak. Peshinni kazosinimi yoki Asr namozinimi?,Va alaykum assalom!http://savollar.islom.uz/savol/39089,2784,13.03.2017,http://savollar.islom.uz/savol/39089
Dolzarb savollar,"Assalomu alaykum! Hurmatli ustozlar, otam-onam, dodam-buvimlar imkonligi bo'lmagani uchun haj yoki umra ziyoratiga bormay o'tib ketishgan. Savolim, man o'zimmi imkoniyatimdan keb chiqib, xaj yoki umra ziyoratiga ketadigan mablag'ni masjid yo boshqa bir hajga borishni niyati bo'gan halol va taqvodor insonga dodam va buvim uchun deb bersam, shuni savobi ulaga haj yoki umra ziyorati sifatida qabul bo'ladimi? Haj yoki umraning savobi ularga yoziladimi? Javobingiz uchun oldindan rahmat.",Va alaykum assalom!http://old.islom.uz/content/view/2961/107/,2180,13.03.2017,http://old.islom.uz/content/view/2961/107/
Dolzarb savollar,"Assalomu alaykum! Agar bir inson «Har kuni Qurondan 1 pora o'qishni nazr qildim» desa, keyin bu ishni qilolmasa. Bu holatda kafforot vojib bo'ladimi?2). «Bu gunohni endi qilmayman nazr qildim» deb qilib qo'ysachi? Iltimos mana shu ikki holatni tushuntirib bersangizlar.",Va alaykum assalom!http://savollar.islom.uz/savol/409882). Nazr bog'lanmaydi. Vallohu alam!,1954,13.03.2017,http://savollar.islom.uz/savol/409882).
Talim va mutaallim,"Assalomu alaykum! Ustozlar, Ustozimiz shayx Muhammad Sodiq Muhammad Yusuf rahimaxulloh hayotlari haqida malumotni oldin o'qigan edim. Yana qanday qaerdan o'qisam bo'ladi?",Va alaykum assalom!http://old.islom.uz/content/view/4194/137/,2227,13.03.2017,http://old.islom.uz/content/view/4194/137/
Dolzarb savollar,"Assalomu alaykum! Pora olish va pora berish, uning jazosi xakida malumot bering iltimos.",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=31298.0;shap,5282,12.03.2017,http://savollar.islom.uz/smf/index.php?topic=31298.0;shap
Halol va harom,"Assalomu alaykum! Hurmatli ustozlar, mani bir tanishim o'zi iymonli va juda yaxshi inson doim odamlaga yaxshiliklar qiladiyu o'ziga keganda yaxshilik qaytmidi. Nuqul bir ish qilaman desa doim ishini qildirib pulini keyin olasan dep aldab ketishadi! Savolimga kelsak shu inson anchadan beri ish boshlamoqchilar, ammo sarmoyasi yo'q. Kimdan so'rasa faqat foizga beraman deb turib olgan. Boshqa iloji qolmagan inson foizga pul olsa bo'ladimi?",Va alaykum assalom!Bo'lmaydi. Vallohu alam!http://www.fiqh.uz/index.php/fiqh-uz/iymon/684-ato-suratidagi-man-etish,2761,10.03.2017,http://www.fiqh.uz/index.php/fiqh-uz/iymon/684-ato-suratidagi-man-etish
Moliya va tijorat,"Assalomu alaykum!-Ushr sadakasi kimlarga beriladi, talaba ukaga va karindoshlar uchun bersa buladimi?-Shaxsiy tomorkasida oilaviy extiyoj uchun etishtirilgan dexkonchilik maxsulotlari va mevalar uchun xam ushr sadakasi berish kerakmi? Agarda shart bulmasa ushr beriladigan va ushr berilmaydigan dexkonchilik chegaralari kanday",Va alaykum assalom!1). Kambag'al bo'lsalar berish joiz. Vallohu alam!2). http://fiqh.uz/index.php/ibodat/zakot/468-ushr-va-oshir-xirozh-masalalari,3359,12.03.2017,http://fiqh.uz/index.php/ibodat/zakot/468-ushr-va-oshir-xirozh-masalalari
Ibodatlar,"Assalomu alaykum! Agar kishi shu bugunlik kunda qoldirgan yani bir kun o'tmagan bomdod yoki shom nomozini qazosini o'qiydigan bo'lsa, qiroatni jahriy o'qishi lozimmi? Agar avvalroq qoldirgan nomozlarini qozosini o'qisachi?",Va alaykum assalom!http://savollar.islom.uz/savol/39126,2681,13.03.2017,http://savollar.islom.uz/savol/39126
Turli savollar,Assalomu alaykum!Dinimiz xis-tuygu ga kanday karaydi. Kanday xolatda bunga suyanish va kaysi xolatda bunga berilmaslik kerak?,"Va alaykum assalom!Shariat Alloh taolo tarafidan nozil qilingan eng to'g'ri o'lchov bo'lib, har qanday ish, amal, xis tuyg'u va xayol o'sha o'lchovga tushsa joiz, tushmasa joiz emas. U kim tarafidan sodir bo'lishining farqi yo'q. Oltinchi sezgi azo(intuiцiya)si borlar ham shariat o'lchoviga tushmasa bekor hisoblanadi. Vallohu alam!http://old.islom.uz/content/view/3243/191/",4021,10.03.2017,http://old.islom.uz/content/view/3243/191/
Dolzarb savollar,"Assalomu alaykum! Aziz ustozlar, hozirgi kunda yurtimizda turli xil ko'ngilochar maskanlar ish yuritmoqda. Shular qatorida yurdoshlarimiz qulayligini ko'zlab, keng miqiyosda ovqatlanish shahobchalari ham keng xizmat ko'rsatmoqda. Qolaversa ko'chalarda ko'plab yurtdoshlrimizning tik turgan holatda, yurgan yo'lida, hattoki jamoat transportlarida ovqat istemol qilayotganiga ko'zimiz tushadi. Shularni inobatga olgan holda dinimizda ovqatlanish odobi, hamda tartibi to'g'risidagi foydali malumotlar bo'lsa, ustozlarimizdan kengrok yoritib berishingizni so'rab qolar edim. Savolimda kamchilik yoki xatolar o'tgan bo'lsa uzr so'rayman. Rahmat.",Va alaykum assalom!Quyidagi linkdagi malumotlarni o'qishni tavsiya qilamiz. Vallohu alam!http://fiqh.uz/index.php/ibodat/halol-harom/taomlar/769-ov-atlanish-odobi,2465,10.03.2017,http://fiqh.uz/index.php/ibodat/halol-harom/taomlar/769-ov-atlanish-odobi
Talim va mutaallim,"Assalomu alaykum! Alloh ilmingizni ziyoda qilsin. Ilm o'rganish dinimiz shartlaridan biridir. Diniy va dunyoviy bilimlarda bir birini inkor qiladigan holatlarda misol uchun tarix odamlar maymundan tarqagan, evaluцiya natjasida rivojlanib kelgan shunga o'xshashlar haqida qisqacha tushincha bersangizlar Savolim noo'rin bo'lsa uzr.",Va alaykum assalom!http://quran.uz/home/maqolalar/1606-odam-sopoldan-yaralganligiga-yangi-ilmiy-dalillar.html,1945,13.03.2017,http://quran.uz/home/maqolalar/1606-odam-sopoldan-yaralganligiga-yangi-ilmiy-dalillar.html
Quroni karim,"Assalomu alaykum! Kuroni karimni taxoratsiz ushlash, ochib kurish joyizmi",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=6965.0,12796,10.03.2017,http://savollar.islom.uz/smf/index.php?topic=6965.0
